Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DIOURBEL,M’BACKE,NDAME,MISSIRAH,"YASSY MISSIRAH",42,43,262,291,553
DIOURBEL,M’BACKE,NDAME,NGHAYE,BELELE,9,12,73,81,154
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 KEUR ELHADJ KA",5,5,29,37,66
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H2 KEUR OUMAR FALL",3,5,39,46,85
DIOURBEL,M’BACKE,NDAME,NGHAYE,"DAROU KHOUDOSS 2",3,3,22,9,31
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 NDIOKANE",6,6,41,42,83
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H2 TEWROU",11,16,90,80,170
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H3 YAWARA",2,2,17,13,30
DIOURBEL,M’BACKE,NDAME,NGHAYE,"DAROU NDIAYE",7,8,50,32,82
DIOURBEL,M’BACKE,NDAME,NGHAYE,GANDIOLE,41,53,196,237,433
DIOURBEL,M’BACKE,NDAME,NGHAYE,"GROTTE 2",12,14,111,104,215
DIOURBEL,M’BACKE,NDAME,NGHAYE,"GUEDJIALY 1",4,4,42,38,80
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 KEURY SOUF",7,14,79,69,148
DIOURBEL,M’BACKE,NDAME,NGHAYE,"GUEDJIALY 2",31,48,303,263,566
DIOURBEL,M’BACKE,NDAME,NGHAYE,"KEUR SAMBA NDIAYE NIANG",4,6,57,37,94
DIOURBEL,M’BACKE,NDAME,NGHAYE,MBARENE,6,6,18,30,48
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 BABOU",3,3,13,7,20
DIOURBEL,M’BACKE,NDAME,NGHAYE,MBILLY,13,19,180,135,315
DIOURBEL,M’BACKE,NDAME,NGHAYE,MBOUCKY,13,13,101,79,180
DIOURBEL,M’BACKE,NDAME,NGHAYE,NDEUNEUKH,3,6,46,24,70
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 NIANKHENE",6,6,38,30,68
DIOURBEL,M’BACKE,NDAME,NGHAYE,"NDIA GUEMB",8,8,43,35,78
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 NDIA KEUR MADIEYE",6,6,31,50,81
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H2 NDIOBENE NDIMB",7,7,37,24,61
DIOURBEL,M’BACKE,NDAME,NGHAYE,NDIATHIAKHO,4,4,54,35,89
DIOURBEL,M’BACKE,NDAME,NGHAYE,NGHAYE,31,34,201,215,416
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 DAROU NDIAYE",13,16,78,69,147
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H2 KEUR LATYR FAYE",3,6,29,32,61
DIOURBEL,M’BACKE,NDAME,NGHAYE,NGONGO,11,27,209,205,414
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 GAISSIR",6,8,74,43,117
DIOURBEL,M’BACKE,NDAME,NGHAYE,NGUEYENE,7,7,23,27,50
DIOURBEL,M’BACKE,NDAME,NGHAYE,NIAKHENE,5,7,45,4,49
DIOURBEL,M’BACKE,NDAME,NGHAYE,THIANGHA,2,5,27,21,48
DIOURBEL,M’BACKE,NDAME,NGHAYE,"THIENTHIE 1",17,22,119,129,248
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 KEUR GALLO",2,3,20,21,41
DIOURBEL,M’BACKE,NDAME,NGHAYE,YASSY,59,65,417,392,809
DIOURBEL,M’BACKE,NDAME,NGHAYE,YERI,74,94,560,541,1101
DIOURBEL,M’BACKE,NDAME,NGHAYE,"H1 MBALKHASSE",4,4,18,11,29
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","BAITY DIMB",13,13,80,45,125
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","BAYE NDIAYE",8,9,92,57,149
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","DAROU RAHIM 1",10,13,84,64,148
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","DAROU RAHIM 2",14,18,161,117,278
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","DAROU RAHMANE",9,12,96,72,168
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H1 KEUR SAGAR KA",5,5,57,19,76
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","DIAMWELY 1",4,5,39,27,66
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H1 KIRE",26,30,122,100,222
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H2 SOUYTA",6,7,51,33,84
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","GORETTE 1",18,31,222,141,363
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","GUEBE 1",24,26,191,140,331
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","GUEBE 2",13,13,101,63,164
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H1 BARIKEL",21,28,200,123,323
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","GUELE 2",9,12,113,68,181
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","GUELE TENE",149,153,584,477,1061
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL",KAWSARA,46,51,282,250,532
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H1 KEUR SOUDOU DIAGNE (KAWSARA SERERE)",6,18,88,83,171
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H2 KEUR MALICK FAYE",2,3,17,16,33
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H3 DABAYE ET NGUEMBE",8,10,40,44,84
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","KEUR MATAR BA",6,7,62,34,96
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL",KOLONABE,11,19,81,98,179
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","MBAME PEULH 1",20,33,212,187,399
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","MBAME PEULH 2",19,27,254,164,418
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","MEDINA TOURE",37,41,244,227,471
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H1 NDIEYENE WODIA",2,2,18,15,33
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL",OUROUR,8,13,91,61,152
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","SAM SAM",17,18,260,146,406
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","TAWA FALL",68,78,412,382,794
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","TOUBA FALL 1",40,40,170,170,340
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","TOUBA FALL 2",29,34,197,226,423
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H2 BELEL",4,4,20,17,37
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","H3 KEUR ADAMA SAMB ET KEUR MAME NDIAYE",8,8,55,27,82
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL","TOUBA NDIAWADY",291,305,1179,1095,2274
DIOURBEL,M’BACKE,NDAME,"TOUBA FALL",YOLLY,43,58,447,390,837
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",AFFE,55,57,749,291,1040
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 AFFE SANTHIE (AFFE KHOUR)",28,29,157,179,336
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",ALIA,1385,1436,7350,6667,14017
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA BAGDAD",306,417,1405,1433,2838
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",BACOURA,15,16,85,73,158
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 RIP GAYE",10,13,85,82,167
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 GOUYE MBAME",70,82,470,434,904
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H4 KODIDE",12,14,186,49,235
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BANGATHIE 1",9,14,82,87,169
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BANGATHIE 2",11,13,114,64,178
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",MBAPE,2,3,11,16,27
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BELEL NAYE",42,50,278,220,498
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BODE 1",4,4,16,14,30
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KEUR SOULEYE BA",3,3,20,18,38
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BODE 2 (KELEL DIENG)",21,67,129,90,219
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KELEL PEULH",5,29,53,45,98
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BOFFEL TOUBA OIL",220,231,1354,1061,2415
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BOUKHATOUL MOUBARACK",10181,11857,51270,50880,102150
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","BOUSTANOUL ARIFINA",410,424,2143,2651,4794
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU KARIM",1096,1118,4497,4310,8807
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU KHADIM",908,931,4450,3387,7837
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU KHALIMOUL KHABIR",1506,1646,8065,8869,16934
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU KHOUDOSS",10428,11026,60992,68746,129738
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 BALLA NDIAYE",2,2,16,10,26
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU MARNANE",5652,6090,32211,35298,67509
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU MINAM",4372,4662,24850,28109,52959
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU NAHIM",373,383,1663,1989,3652
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU RAHMANE",157,165,941,1037,1978
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KEUR SERIGNE HABIB",7,7,63,15,78
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU RAHMANE (SANTHIE)",217,229,1248,1183,2431
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU RAHMANE 1",359,363,2020,1993,4013
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DAROU SALAM NDAME",317,359,1832,1823,3655
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",DIAKHAYE,729,744,3776,3655,7431
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",DIALAKHAR,14,15,97,65,162
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 MBAYENE",13,15,82,69,151
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 DAROU DIOP",11,11,38,29,67
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H3 DEMBA WOUNTOU",3,4,23,20,43
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","DIANATOUL MAHWA",2464,2791,12675,12881,25556
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","GOUYE MBIND",1978,2121,10696,11753,22449
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","GOUYE NABE",12,14,82,58,140
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","GUEDE BOUSSO",5714,6014,29309,31495,60804
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 LAMBY GADIO",13,34,107,77,184
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 NDAR KHAKHAME",116,117,409,397,806
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KANKA (DEUK BOU REY)",51,56,327,331,658
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KELELE DIOP (KELELE OUOLOF)",54,68,393,344,737
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KEUR HOGGO SOW",10,70,128,113,241
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 NAIDE",7,10,54,51,105
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KERE MBAYE",282,600,1331,1150,2481
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 MACOUMBA DIABY",8,9,49,46,95
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 POFDY PEULH",14,24,122,138,260
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H3 TOUBA DIADEL",48,49,162,159,321
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KERE NDIAGA NDAO",31,34,260,189,449
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 THYSSE",4,4,30,34,64
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KEUR MACOUMBA KEBE (KEUR KABE)",283,559,1515,1175,2690
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KEUR NIANG",2034,2235,12466,13741,26207
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","KEUR NIANG EXTENSION",137,139,844,828,1672
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",KHAIRA,3339,3565,18377,20640,39017
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA MADIYANA",3694,4148,22319,23472,45791
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","MAYE LANDANG",33,38,240,290,530
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 BOWEL",12,15,109,123,232
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 THIERERE",2,4,25,28,53
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","MERINA DIOP (MBOULOUGNE)",328,331,1694,1502,3196
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","MBOUSSOBE (DIANATOU FIRDAWSHI)",599,613,2495,2557,5052
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","MERI LAH",9,15,115,103,218
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KEUR MAMADOU GORY KA",5,7,52,26,78
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",NAIDE,41,58,315,215,530
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KEUR BIRAME",21,32,196,182,378
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",NDIAYENE,19,19,132,115,247
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",NDILIKY,70,77,437,373,810
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","NDINDY ABDOU",4549,4840,22325,21820,44145
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",NDIOGOP,12,18,90,70,160
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",NGASSAMA,53,54,346,365,711
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",GUELODE,104,112,726,557,1283
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","POFDY WOLOF",33,36,217,242,459
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 KEUR SAMBA YOUMBEL BA",7,13,90,84,174
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","SAME LAH",2149,2235,11889,12323,24212
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",SOLBOCK,605,705,2884,2999,5883
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","SOURANG PEULH",33,42,232,232,464
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 DJEMBERE",49,61,340,274,614
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 YAMANE ET KOUTHIOUTHIE",21,24,221,60,281
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H3 BOUBRE",5,13,107,101,208
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H4 KEUR MANDIAYE DE NDINDY ABDOU",1,1,13,8,21
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H5 SOURANG NDIAYENE",8,12,55,53,108
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TAW FEKH BOUSSO",413,422,1259,968,2227
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 NAIGUEDE",8,9,17,29,46
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 BODE PEULH",3,6,13,18,31
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",TAWFEKH,1065,1090,5399,5113,10512
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",THIAWENE,1524,2073,7466,7421,14887
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","THIAWENE NDICKOU",318,328,1342,1336,2678
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 DAROU KA",107,108,432,398,830
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",THYLLENE,5,11,70,50,120
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","THYSSE 1",5,5,47,16,63
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE",TINDODY,1685,1736,7529,7430,14959
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H2 KEUR AMADOU NDENE SOW",2,4,19,14,33
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H3 BALLA FALL",42,46,115,125,240
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H4 DIALAL",193,297,622,527,1149
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H5 MEDINATOUL ABRARY",73,75,212,227,439
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H6 POLLE",7,15,67,40,107
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA AL AZAR",5179,5369,27183,27037,54220
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA BOBOREL",1246,1278,5068,4726,9794
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA FALL DIANATOUL",642,988,3127,2742,5869
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 TOUBA FALL KHAR YALLA",137,141,542,497,1039
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA GUEDE",863,931,4789,6019,10808
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA HLM",3186,4035,17928,18426,36354
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA MOSQUEE",11687,12369,69700,70909,140609
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA NDIAREME",4155,4338,21489,21815,43304
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA YAGNE",112,125,653,575,1228
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","WOURO DIOFFO",19,24,156,98,254
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","THIAWENE SANTHIE ET DAROU SOW",636,656,2778,2564,5342
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA BELEL",145,160,1071,868,1939
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","H1 THIONGUENE",17,45,85,78,163
DIOURBEL,M’BACKE,NDAME,"TOUBA MOSQUEE","TOUBA TAWFEKH ROUTE DE DAROU",394,859,1565,1459,3024
DIOURBEL,M’BACKE,TAIF,SADIO,BADJI,38,47,265,284,549
DIOURBEL,M’BACKE,TAIF,SADIO,"H1 BOWDO TATY (BADJI SERERE)",10,13,104,82,186
DIOURBEL,M’BACKE,TAIF,SADIO,"H2 NGANTOUR (BADJI PEULH )",9,11,68,60,128
DIOURBEL,M’BACKE,TAIF,SADIO,"H3 TOUPA",12,19,77,80,157
DIOURBEL,M’BACKE,TAIF,SADIO,"BANANE NDIOLOFENE",41,46,189,221,410
DIOURBEL,M’BACKE,TAIF,SADIO,"BANANE WAGADOU",74,82,419,406,825
DIOURBEL,M’BACKE,TAIF,SADIO,BOUSRA,10,12,160,98,258
DIOURBEL,M’BACKE,TAIF,SADIO,"DIABY 1",5,9,35,42,77
DIOURBEL,M’BACKE,TAIF,SADIO,"H1 LOULDE",19,23,134,117,251
DIOURBEL,M’BACKE,TAIF,SADIO,"DIABY 2",7,8,38,28,66
DIOURBEL,M’BACKE,TAIF,SADIO,"DIABY 3",5,5,38,38,76
DIOURBEL,M’BACKE,TAIF,SADIO,"DIABY KEUR SERIGNE BARA (DIABY WOLOF)",8,12,128,96,224
DIOURBEL,M’BACKE,TAIF,SADIO,"H1 NGASSAMA",10,14,78,73,151
DIOURBEL,M’BACKE,TAIF,SADIO,"H2 KEUR MBAYE BANA ET DIABY KEUR CHEIKH SAMBA THIAM",10,10,81,72,153
DIOURBEL,M’BACKE,TAIF,SADIO,DIOUFENE,25,28,112,146,258
DIOURBEL,M’BACKE,TAIF,SADIO,"GAINA KEUR TAMSIR",105,122,522,593,1115
DIOURBEL,M’BACKE,TAIF,SADIO,"GUERLE PEULH",30,32,143,146,289
DIOURBEL,M’BACKE,TAIF,SADIO,"GUERLE WOLOF",68,73,577,496,1073
DIOURBEL,M’BACKE,TAIF,SADIO,KAMBEL,66,86,411,651,1062
DIOURBEL,M’BACKE,TAIF,SADIO,"H1 MBEUP",14,27,170,116,286
DIOURBEL,M’BACKE,TAIF,SADIO,"MEDINA BOURLE",22,27,223,150,373
DIOURBEL,M’BACKE,TAIF,SADIO,"H1 BIDE",2,3,25,37,62
DIOURBEL,M’BACKE,TAIF,SADIO,"NGARAF (KEUR OUMAR GUEYE)",91,104,564,578,1142
DIOURBEL,M’BACKE,TAIF,SADIO,"NGARAF MBAYENE",37,63,451,404,855
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO ESCALE",228,254,1574,1781,3355
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO MBAYARD (THIODORDE)",105,140,1116,927,2043
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO NDIAKHAYE",177,201,1120,1279,2399
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO NDOMENE",99,126,790,743,1533
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO NDONDOL",64,88,648,544,1192
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO PALENE",72,83,553,444,997
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO THIAKHO",71,85,388,560,948
DIOURBEL,M’BACKE,TAIF,SADIO,"SADIO TOBENE",103,126,750,713,1463
DIOURBEL,M’BACKE,TAIF,SADIO,"TALL TALL",15,17,110,129,239
DIOURBEL,M’BACKE,TAIF,SADIO,"H1 POUMANENE",6,7,60,57,117
DIOURBEL,M’BACKE,TAIF,SADIO,"H2 DAGA TALL TALL",11,14,75,57,132
DIOURBEL,M’BACKE,TAIF,TAIF,BAILA,114,130,602,744,1346
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 DIAMAGUENE",2,2,23,0,23
DIOURBEL,M’BACKE,TAIF,TAIF,BOMBALY,39,41,247,233,480
DIOURBEL,M’BACKE,TAIF,TAIF,"H2 DIOR BANGO",17,17,101,97,198
DIOURBEL,M’BACKE,TAIF,TAIF,"H3 DARAYE MOUSTAPHA ABDOU KHADRE MBACKE",2,2,108,0,108
DIOURBEL,M’BACKE,TAIF,TAIF,"BOULERI NDIOLOFENE (KEUR BAMARY NDIOLOFENE)",63,70,293,389,682
DIOURBEL,M’BACKE,TAIF,TAIF,"BOULERI PEULH",11,20,112,102,214
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 NDEGUE",13,18,128,90,218
DIOURBEL,M’BACKE,TAIF,TAIF,"DANKY (DAROU ISLAM)",43,44,242,218,460
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 NDIARIGNE NDIOFO",3,3,34,30,64
DIOURBEL,M’BACKE,TAIF,TAIF,"H2 NARGA",9,11,60,57,117
DIOURBEL,M’BACKE,TAIF,TAIF,"DAROU MINAM TAIF (DAROU MINAM MBACKE)",14,16,177,86,263
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 DAARA SERIGNE MODOU MBACKE",4,4,13,16,29
DIOURBEL,M’BACKE,TAIF,TAIF,"DAROU SALAM NGHAYE (MINAM SARR)",29,33,231,156,387
DIOURBEL,M’BACKE,TAIF,TAIF,"DIGUIGNE (MBAYENE)",18,21,129,94,223
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 DIGUIGNE PEULH",4,6,22,22,44
DIOURBEL,M’BACKE,TAIF,TAIF,"DIGUIGNE SERERE",32,41,257,225,482
DIOURBEL,M’BACKE,TAIF,TAIF,SANDATOU,26,27,146,132,278
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 KEUR BOYDO KA",3,3,17,12,29
DIOURBEL,M’BACKE,TAIF,TAIF,TAIF,650,731,3973,4615,8588
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 MAKA SARR",22,27,147,150,297
DIOURBEL,M’BACKE,TAIF,TAIF,"H3 DAARA KHADIM MBACKE",3,3,16,0,16
DIOURBEL,M’BACKE,TAIF,TAIF,"H4 IRADA",8,9,55,41,96
DIOURBEL,M’BACKE,TAIF,TAIF,"H5 DAROU BAILA",18,18,137,111,248
DIOURBEL,M’BACKE,TAIF,TAIF,"H6 GOUYE NAROU",12,18,75,72,147
DIOURBEL,M’BACKE,TAIF,TAIF,"H7 BAWDO TATI (TOUBA TAIF SERERE)",30,37,266,234,500
DIOURBEL,M’BACKE,TAIF,TAIF,"H8 GOUDOUGUEL",15,24,92,90,182
DIOURBEL,M’BACKE,TAIF,TAIF,"H9 NABA",9,11,72,74,146
DIOURBEL,M’BACKE,TAIF,TAIF,TANE,22,27,222,195,417
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 BELELE SENE",4,6,31,27,58
DIOURBEL,M’BACKE,TAIF,TAIF,"TOUBA NABA (THISSE)",32,41,266,214,480
DIOURBEL,M’BACKE,TAIF,TAIF,"TOUBA NGHAYE (DAROU NDIAYE)",39,40,266,201,467
DIOURBEL,M’BACKE,TAIF,TAIF,"H1 PEULGHA",4,5,38,19,57
DIOURBEL,M’BACKE,TAIF,TAIF,"H2 DAROU NDIAYE KEUR SERIGNE BATHI",17,19,161,129,290
DIOURBEL,M’BACKE,TAIF,TAIF,WOUGA,38,61,304,295,599
